Orthogroup	schistosoma_mansoni	s.mekongi
OG0000374	Smp_099850.1	KAK4473375.1
OG0000375	Smp_191870.1	KAK4475736.1, KAK4467517.1
OG0000376	Smp_347860.1	KAK4471759.1
OG0000378	Smp_163210.3, Smp_163210.1, Smp_163210.2	KAK4473152.1
OG0000379	Smp_320480.1	KAK4467588.1
OG0000380	Smp_070380.1	KAK4475417.1
OG0000380	Smp_075500.1	KAK4475418.1
OG0000381	Smp_105410.1	KAK4469535.1
OG0000381	Smp_012440.1	KAK4469537.1
OG0000382	Smp_070250.1, Smp_336880.1	KAK4467541.1, KAK4467323.1, KAK4468641.1, KAK4468644.1, KAK4468642.1
OG0000383	Smp_142650.2, Smp_142650.1	KAK4473926.1
OG0000384	Smp_316270.1, Smp_315420.1	KAK4472592.1
OG0000385	Smp_326080.1	KAK4471741.1
OG0000385	Smp_326090.1	KAK4471739.1
OG0000386	Smp_163760.1	KAK4475366.1
OG0000387	Smp_169140.1, Smp_320670.1	KAK4475570.1
OG0000388	Smp_344630.1, Smp_344630.2	KAK4468526.1
OG0000389	Smp_137210.1	KAK4470603.1
OG0000390	Smp_069960.1	KAK4468203.1
OG0000391	Smp_163340.1	KAK4474521.1
OG0000393	Smp_171540.1	KAK4469470.1
